# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sbreak.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000400   ---        --------
               6   N   00000400   0000e101   00000404   x10_a0     00000000
               7   N   00000404   00004e01   00000406   ---        --------
               8   N   00000406   00000297   00000408   x28_t3     00000000
               9   N   00000408   ef828293   0000040c   x05_t0     00000408
              10   N   0000040c   30529073   00000410   x05_t0     00000300
              11   N   00000410   00004505   00000414   ---        --------
              12   N   00000414   0000057e   00000416   x10_a0     00000001
              13   N   00000416   00054863   00000418   x10_a0     80000000
              14   N   00000418   0ff0000f   00000428   ---        --------
              17   N   00000428   00028f63   0000042c   x05_t0     00000000
              18   N   0000042c   10529073   0000044a   ---        --------
              22   N   0000044a   00006509   0000044e   ---        --------
              23   N   0000044e   00006509   0000044e   ---        --------
              24   N   0000044e   80050513   00000450   x10_a0     00002000
              25   N   00000450   30052073   00000454   x10_a0     00001800
              26   N   00000454   00000297   00000458   ---        --------
              27   N   00000458   00000297   00000458   ---        --------
              28   N   00000458   73428293   0000045c   x05_t0     00000458
              29   N   0000045c   34129073   00000460   x05_t0     00000b8c
              30   N   00000460   f1402573   00000464   ---        --------
              31   N   00000464   30200073   00000468   x10_a0     00000000
              33   N   00000468   00000000   00000b8c   ---        --------
              36   N   00000b8c   00009002   00000b8e   x28_t3     00000002
              37   E   00000b8e   0000a019   00000300   mstatus    00001800
              37   E   00000b8e   0000a019   00000300   mepc       00000b8e
              37   E   00000b8e   0000a019   00000300   mcause     00000003
              37   E   00000b8e   0000a019   00000300   mtval      00000000
              40   N   00000300   000047a1   00000304   x14_a4     00000003
              41   N   00000304   04f70263   00000306   x15_a5     00000008
              42   N   00000306   000047a5   0000030a   ---        --------
              43   N   0000030a   02f70f63   0000030c   x15_a5     00000009
              44   N   0000030c   000047ad   00000310   ---        --------
              45   N   00000310   02f70c63   00000312   x15_a5     0000000b
              46   N   00000312   47ad0837   00000316   ---        --------
              48   N   00000316   02f71897   0000031a   x16_a6     f0000000
              50   N   0000031a   f0008893   0000031e   x17_a7     0000131a
              52   N   0000031e   00008783   00000322   x17_a7     00000b80
              55   N   00000322   0000c791   00000326   x15_a5     00000062
              56   N   00000326   00f82023   00000328   ---        --------
              58   N   00000328   00000885   0000032c   ---        --------
              59   N   0000032c   ff5ff06f   0000032e   x17_a7     00000b81
              60   N   0000032e   08851717   00000322   ---        --------
              65   N   00000322   0000c791   00000326   x15_a5     00000072
              66   N   00000326   00f82023   00000328   ---        --------
              68   N   00000328   00000885   0000032c   ---        --------
              69   N   0000032c   ff5ff06f   0000032e   x17_a7     00000b82
              70   N   0000032e   08851717   00000322   ---        --------
              75   N   00000322   0000c791   00000326   x15_a5     00000065
              76   N   00000326   00f82023   00000328   ---        --------
              78   N   00000328   00000885   0000032c   ---        --------
              79   N   0000032c   ff5ff06f   0000032e   x17_a7     00000b83
              80   N   0000032e   08851717   00000322   ---        --------
              85   N   00000322   0000c791   00000326   x15_a5     00000061
              86   N   00000326   00f82023   00000328   ---        --------
              88   N   00000328   00000885   0000032c   ---        --------
              89   N   0000032c   ff5ff06f   0000032e   x17_a7     00000b84
              90   N   0000032e   08851717   00000322   ---        --------
              95   N   00000322   0000c791   00000326   x15_a5     0000006b
              96   N   00000326   00f82023   00000328   ---        --------
              98   N   00000328   00000885   0000032c   ---        --------
              99   N   0000032c   ff5ff06f   0000032e   x17_a7     00000b85
             100   N   0000032e   08851717   00000322   ---        --------
             105   N   00000322   0000c791   00000326   x15_a5     0000002d
             106   N   00000326   00f82023   00000328   ---        --------
             108   N   00000328   00000885   0000032c   ---        --------
             109   N   0000032c   ff5ff06f   0000032e   x17_a7     00000b86
             110   N   0000032e   08851717   00000322   ---        --------
             115   N   00000322   0000c791   00000326   x15_a5     00000062
             116   N   00000326   00f82023   00000328   ---        --------
             118   N   00000328   00000885   0000032c   ---        --------
             119   N   0000032c   ff5ff06f   0000032e   x17_a7     00000b87
             120   N   0000032e   08851717   00000322   ---        --------
             125   N   00000322   0000c791   00000326   x15_a5     00000072
             126   N   00000326   00f82023   00000328   ---        --------
             128   N   00000328   00000885   0000032c   ---        --------
             129   N   0000032c   ff5ff06f   0000032e   x17_a7     00000b88
             130   N   0000032e   08851717   00000322   ---        --------
             135   N   00000322   0000c791   00000326   x15_a5     00000065
             136   N   00000326   00f82023   00000328   ---        --------
             138   N   00000328   00000885   0000032c   ---        --------
             139   N   0000032c   ff5ff06f   0000032e   x17_a7     00000b89
             140   N   0000032e   08851717   00000322   ---        --------
             145   N   00000322   0000c791   00000326   x15_a5     00000061
             146   N   00000326   00f82023   00000328   ---        --------
             148   N   00000328   00000885   0000032c   ---        --------
             149   N   0000032c   ff5ff06f   0000032e   x17_a7     00000b8a
             150   N   0000032e   08851717   00000322   ---        --------
             155   N   00000322   0000c791   00000326   x15_a5     0000006b
             156   N   00000326   00f82023   00000328   ---        --------
             158   N   00000328   00000885   0000032c   ---        --------
             159   N   0000032c   ff5ff06f   0000032e   x17_a7     00000b8b
             160   N   0000032e   08851717   00000322   ---        --------
             165   N   00000322   0000c791   00000326   x15_a5     00000000
             166   N   00000326   00f82023   00000332   ---        --------
             170   N   00000332   20230713   00000336   x14_a4     00001332
             172   N   00000336   0000c311   0000033a   x14_a4     00000bb0
             173   N   0000033a   00008702   0000033c   ---        --------
             174   N   0000033c   34202773   00000bb0   ---        --------
             177   N   00000bb0   342022f3   00000bb2   x06_t1     00000003
             178   N   00000bb2   430d90e3   00000bb6   x05_t0     00000003
             180   N   00000bb6   34200317   00000bba   ---        --------
             182   N   00000bba   fe620313   00000bbe   x06_t1     00000bba
             184   N   00000bbe   000022f3   00000bc2   x06_t1     00000b8e
             186   N   00000bc2   fd4398e3   00000bc6   x05_t0     00000b8e
             188   N   00000bc6   0000bfe1   00000bca   ---        --------
             189   N   00000bca   00000073   00000ba2   ---        --------
             193   N   00000ba2   000085f2   00000ba6   ---        --------
             194   N   00000ba6   00004501   00000ba8   x11_a1     00000002
             195   N   00000ba8   00000073   00000baa   x10_a0     00000000
             196   E   00000baa   00000001   00000300   mstatus    00001800
             196   E   00000baa   00000001   00000300   mepc       00000baa
             196   E   00000baa   00000001   00000300   mcause     0000000b
             196   E   00000baa   00000001   00000300   mtval      00000000
             199   N   00000300   000047a1   00000304   x14_a4     0000000b
             200   N   00000304   04f70263   00000306   x15_a5     00000008
             201   N   00000306   000047a5   0000030a   ---        --------
             202   N   0000030a   02f70f63   0000030c   x15_a5     00000009
             203   N   0000030c   000047ad   00000310   ---        --------
             204   N   00000310   02f70c63   00000312   x15_a5     0000000b
             205   N   00000312   47ad0837   0000034a   ---        --------
             209   N   0000034a   08370013   00000be0   ---        --------
             212   N   00000be0   51428293   00000be4   x05_t0     fffffbe0
             213   N   00000be4   00008282   00000be8   x05_t0     000000f4
             214   N   00000be8   00000013   000000f4   ---        --------
             217   N   000000f4   0000006f   000000f8   ---        --------
             218   N   000000f8   ffffffff   000000f8   ---        --------
